primary_role_id,role_ids,RBMIdLength,RBMId,Count of name
RO177,RO76,25,NHSNoReplyBarkingMGF82018,1
RO177,RO76,25,NHSNoReplyBarlborouC81662,1
RO177,RO76,25,NHSNoReplyBarlbySgrY01011,1
RO177,RO76,25,NHSNoReplyBarlowHsSW92008,1
RO177,RO76,25,NHSNoReplyBarnabasME85127,1
RO177,RO76,25,NHSNoReplyBarnardCaA83046,1
RO177,RO76,25,NHSNoReplyBarnardMGG83004,1
RO177,RO76,25,NHSNoReplyBarnburghC86606,1
RO177,RO76,25,NHSNoReplyBarnbyGatC84009,1
RO177,RO76,25,NHSNoReplyBarnetbyMB81628,1
RO177,RO76,25,NHSNoReplyBarnetFedY05258,1
RO177,RO76,25,NHSNoReplyBarnfieldL83024,1
RO177,RO76,25,NHSNoReplyBarnoldswP81078,1
RO177,RO76,25,NHSNoReplyBarnsburyF83033,1
RO177,RO76,25,NHSNoReplyBarnsleyRC88091,1
RO177,RO76,25,NHSNoReplyBarntGreeM81078,1
RO177,RO76,25,NHSNoReplyBarrackLnD83059,1
RO177,RO76,25,NHSNoReplyBarringtoP91603,1
RO177,RO76,25,NHSNoReplyBarrowforP81757,1
RO177,RO76,25,NHSNoReplyBarrowHthC82062,1
RO177,RO76,25,NHSNoReplyBartholomB81068,1
RO177,RO76,25,NHSNoReplyBartlemasK84032,1
RO177,RO76,25,NHSNoReplyBartlettGH81013,1
RO177,RO76,25,NHSNoReplyBartleyGrM85117,1
RO177,RO76,25,NHSNoReplyBartonHilE81632,1
RO177,RO76,25,NHSNoReplyBartonHsGF84008,1
RO177,RO76,25,NHSNoReplyBartonHsMJ81074,1
RO177,RO76,25,NHSNoReplyBartonSgrL83005,1
RO177,RO76,25,NHSNoReplyBarwellHoC82061,1
RO177,RO76,25,NHSNoReplyBaslowHthC81013,1
RO177,RO76,25,NHSNoReplyBassetlawY08082,1
RO177,RO76,25,NHSNoReplyBassinghaC83611,1
RO177,RO76,25,NHSNoReplyBathRdSgrE85716,1
RO177,RO76,25,NHSNoReplyBathRowMPM85025,1
RO177,RO76,25,NHSNoReplyBatleyHthB85008,1
RO177,RO76,25,NHSNoReplyBatterseaH85049,1
RO177,RO76,25,NHSNoReplyBatterseaH85111,1
RO177,RO76,25,NHSNoReplyBawtryBlyC84101,1
RO177,RO76,25,NHSNoReplyBayMGExteY05448,1
RO177,RO76,25,NHSNoReplyBeachesMPD82003,1
RO177,RO76,25,NHSNoReplyBeaconForW98057,1
RO177,RO76,25,NHSNoReplyBeaconHsMY01297,1
RO177,RO76,25,NHSNoReplyBeaconHthF81100,1
RO177,RO76,25,NHSNoReplyBeaconHthN82022,1
RO177,RO76,25,NHSNoReplyBeaconHthN82107,1
RO177,RO76,25,NHSNoReplyBeaconMedB81003,1
RO177,RO76,25,NHSNoReplyBeaconPmrP81112,1
RO177,RO76,25,NHSNoReplyBeaconsfiG81042,1
RO177,RO76,25,NHSNoReplyBeaconSgrG81019,1
RO177,RO76,25,NHSNoReplyBeaconVieA85026,1
RO177,RO76,25,NHSNoReplyBeamParkMY08371,1
RO177,RO76,25,NHSNoReplyBearwoodMM88042,1
RO177,RO76,25,NHSNoReplyBearwoodRM88019,1
RO177,RO76,25,NHSNoReplyBeauchampF81083,1
RO177,RO76,25,NHSNoReplyBeauchiefC88046,1
RO177,RO76,25,NHSNoReplyBeaufortRJ81018,1
RO177,RO76,25,NHSNoReplyBeaumontEK84016,1
RO177,RO76,25,NHSNoReplyBeaumontLC82094,1
RO177,RO76,25,NHSNoReplyBeaumontPA87011,1
RO177,RO76,25,NHSNoReplyBeaumontPF83671,1
RO177,RO76,25,NHSNoReplyBeaumontVL83018,1
RO177,RO76,25,NHSNoReplyBecclesMPD83009,1
RO177,RO76,25,NHSNoReplyBeckettHsG85100,1
RO177,RO76,25,NHSNoReplyBeckingtoL85020,1
RO177,RO76,25,NHSNoReplyBecontreeF82677,1
RO177,RO76,25,NHSNoReplyBedfordHiH85009,1
RO177,RO76,25,NHSNoReplyBedfordPaE85066,1
RO177,RO76,25,NHSNoReplyBedfordStK82039,1
RO177,RO76,25,NHSNoReplyBedlingtoA84005,1
RO177,RO76,25,NHSNoReplyBedminsteL81082,1
RO177,RO76,25,NHSNoReplyBedocHthCY06153,1
RO177,RO76,25,NHSNoReplyBedwellMPE82093,1
RO177,RO76,25,NHSNoReplyBedworthHM84011,1
RO177,RO76,25,NHSNoReplyBeechcrofY03595,1
RO177,RO76,25,NHSNoReplyBeechdaleM91611,1
RO177,RO76,25,NHSNoReplyBeechesGrL84039,1
RO177,RO76,25,NHSNoReplyBeechesMeN81037,1
RO177,RO76,25,NHSNoReplyBeechesMPM82018,1
RO177,RO76,25,NHSNoReplyBeechesMPP81692,1
RO177,RO76,25,NHSNoReplyBeechesSgH85662,1
RO177,RO76,25,NHSNoReplyBeechfielC83003,1
RO177,RO76,25,NHSNoReplyBeechHillP92010,1
RO177,RO76,25,NHSNoReplyBeechHsMPP88012,1
RO177,RO76,25,NHSNoReplyBeechHsSgB82069,1
RO177,RO76,25,NHSNoReplyBeechHsSgW91033,1
RO177,RO76,25,NHSNoReplyBeechTreeB82041,1
RO177,RO76,25,NHSNoReplyBeechTreeB86655,1
RO177,RO76,25,NHSNoReplyBeechTreeM84065,1
RO177,RO76,25,NHSNoReplyBeechwoodB84613,1
RO177,RO76,25,NHSNoReplyBeechwoodF81023,1
RO177,RO76,25,NHSNoReplyBeechwoodF84038,1
RO177,RO76,25,NHSNoReplyBeechwoodL81087,1
RO177,RO76,25,NHSNoReplyBeechwoodP81742,1
RO177,RO76,25,NHSNoReplyBeechwoodW93053,1
RO177,RO76,25,NHSNoReplyBeeFoldMPP92633,1
RO177,RO76,25,NHSNoReplyBeehiveSgP82616,1
RO177,RO76,25,NHSNoReplyBeestonViB86667,1
RO177,RO76,25,NHSNoReplyBelfordMPA84008,1
RO177,RO76,25,NHSNoReplyBelgraveME87753,1
RO177,RO76,25,NHSNoReplyBelgraveMM83068,1
RO177,RO76,25,NHSNoReplyBelgraviaE87005,1
RO177,RO76,25,NHSNoReplyBellbrookB86081,1
RO177,RO76,25,NHSNoReplyBellegrovG83009,1
RO177,RO76,25,NHSNoReplyBelleValeN82094,1
RO177,RO76,25,NHSNoReplyBellevueMM85124,1
RO177,RO76,25,NHSNoReplyBellevueSW93048,1
RO177,RO76,25,NHSNoReplyBellinghaA84027,1
RO177,RO76,25,NHSNoReplyBelmontHtE84069,1
RO177,RO76,25,NHSNoReplyBelmontMPE85049,1
RO177,RO76,25,NHSNoReplyBelmontMPE86009,1
RO177,RO76,25,NHSNoReplyBelmontMPM81093,1
RO177,RO76,25,NHSNoReplyBelmontShA83014,1
RO177,RO76,25,NHSNoReplyBelsizePrF83658,1
RO177,RO76,25,NHSNoReplyBelvedereG83052,1
RO177,RO76,25,NHSNoReplyBelvidereM82048,1
RO177,RO76,25,NHSNoReplyBelvoirHtC84017,1
RO177,RO76,25,NHSNoReplyBenchillMP84029,1
RO177,RO76,25,NHSNoReplyBenfieldPA86023,1
RO177,RO76,25,NHSNoReplyBenfleetSF81713,1
RO177,RO76,25,NHSNoReplyBenhillBeH85031,1
RO177,RO76,25,NHSNoReplyBennettsEE82032,1
RO177,RO76,25,NHSNoReplyBennfieldM84067,1
RO177,RO76,25,NHSNoReplyBenshamFPA85002,1
RO177,RO76,25,NHSNoReplyBenthamMPB82061,1
RO177,RO76,25,NHSNoReplyBenthamRdY02657,1
RO177,RO76,25,NHSNoReplyBentleyMPA81018,1
RO177,RO76,25,NHSNoReplyBereRegisJ81020,1
RO177,RO76,25,NHSNoReplyBerinsfieK84023,1
RO177,RO76,25,NHSNoReplyBerkeleyPL84030,1
RO177,RO76,25,NHSNoReplyBerllanSgW91624,1
RO177,RO76,25,NHSNoReplyBermondseG85623,1
RO177,RO76,25,NHSNoReplyBerrycrofY01964,1
RO177,RO76,25,NHSNoReplyBerryLnMPP81055,1
RO177,RO76,25,NHSNoReplyBerrylsSgH84053,1
RO177,RO76,25,NHSNoReplyBerrymeadN83008,1
RO177,RO76,25,NHSNoReplyBerstedGrH82016,1
RO177,RO76,25,NHSNoReplyBerwickSgF82649,1
RO177,RO76,25,NHSNoReplyBethanyMPN83054,1
RO177,RO76,25,NHSNoReplyBethnalGrF84083,1
RO177,RO76,25,NHSNoReplyBetleySgrM83691,1
RO177,RO76,25,NHSNoReplyBettsAvenA86030,1
RO177,RO76,25,NHSNoReplyBevanCmBeB83657,1
RO177,RO76,25,NHSNoReplyBewbushMPH82088,1
RO177,RO76,25,NHSNoReplyBewdleyMPM81057,1
RO177,RO76,25,NHSNoReplyBewickCreA83037,1
RO177,RO76,25,NHSNoReplyBewickeMPA87013,1
RO177,RO76,25,NHSNoReplyBewickRdSA85017,1
RO177,RO76,25,NHSNoReplyBharaniMPK81083,1
RO177,RO76,25,NHSNoReplyBhfHighgaY05363,1
RO177,RO76,25,NHSNoReplyBhfLundwoY05364,1
RO177,RO76,25,NHSNoReplyBicesterHK84052,1
RO177,RO76,25,NHSNoReplyBiddlestoA86010,1
RO177,RO76,25,NHSNoReplyBiddulphDM83089,1
RO177,RO76,25,NHSNoReplyBiddulphVM83046,1
RO177,RO76,25,NHSNoReplyBidefordML83083,1
RO177,RO76,25,NHSNoReplyBidfordHtM84018,1
RO177,RO76,25,NHSNoReplyBighamRdMN82671,1
RO177,RO76,25,NHSNoReplyBilborougY06356,1
